wikidata_code_b,education
Q20961731,['École nationale supérieure des Beaux-Arts']
Q42403503,"['University of Latvia', 'Moscow State University']"
Q4149408,"['Terlemezyan state college of fine arts', 'Yerevan State Institute of Fine Arts and Theater']"
Q13027999,['Belarusian State University']
Q5382333,['Fairleigh Dickinson University']
Q8045752,['University of Leeds']
Q4302868,['Belarusian State University of Informatics and Radioelectronics']
Q24005414,['University of Yangon']
Q4308968,['Al-Farabi Kazakh National University']
Q29158775,['Gerasimov Institute of Cinematography']
Q25381531,"['University of Lomé', 'University of Burgundy', '']"
Q22912283,['Gerasimov Institute of Cinematography']
Q3320788,['University of Pittsburgh']
Q55598537,"['Panthéon-Assas University', 'Aix-Marseille University']"
Q5398931,['Nampula secondary school']
Q17350581,['University of Ouagadougou']
Q5636422,['Vietnam National University']
Q47931314,['Eastern and Southern African Management Institute']
Q3192595,['Université Félix Houphouët-Boigny']
Q26923790,"['Kwame Nkrumah University of Science and Technology', 'Cambridge College']"
Q2827467,['Paris 13 University']
Q23771537,"['University of Medicine 1, Yangon']"
Q7902271,"['University of the Witwatersrand', 'University of Southampton']"
Q6211649,['Kwame Nkrumah University of Science and Technology']
Q2194140,['Kim Chaek University of Technology']
Q3161597,['University of Delhi']
Q37321305,"['Indiana University', 'University of Jordan', 'University of Essex']"
Q5399327,['United Arab Emirates University']
Q20562703,['Academy of Music']
Q5526551,"['Lycoming College', 'University of Mannheim', 'University of Oxford']"
Q33190013,['Somali National University']
Q1396519,['Hugo Treffner Gymnasium']
Q16302722,['Central American University']
Q6263878,['Southeastern Louisiana University']
Q3326222,['University of Michigan']
Q5289506,"['Marquette University', 'University of the West Indies', 'Viterbo University']"
Q15993157,['University of Dar es Salaam']
Q16226299,['University of Yangon']
Q4188358,['Armenian State Institute of Physical Culture and Sport']
Q3470867,['University of the South Pacific']
Q16015223,['Yerevan State Institute of Fine Arts and Theater']
Q14628091,['University of Zambia']
Q11980504,['University of the West Indies']
Q22006727,['University of Zambia']
Q30729327,"['Paris Law Faculty', 'Ecole Spéciale Militaire de Saint-Cyr']"
Q15991195,['University of Baghdad']
Q27881488,"['University of Medicine, Mandalay']"
Q19257092,"['School of Oriental and African Studies', 'Kuwait University']"
Q27312653,['Eduardo Mondlane University']
Q42939420,"['Voronezh State University', 'University of Halle-Wittenberg']"
Q6165879,"['Cairo  University', 'University of Leeds']"
Q15047198,"['University of Strathclyde', 'University of National and World Economy']"
Q6835924,"['National and Kapodistrian University of Athens', 'University of London']"
Q28223333,"['Fordham University', 'Adisadel College']"
Q2996501,['University of Barcelona']
Q18694410,['Yerevan State Institute of Fine Arts and Theater']
Q5174848,['University of Salford']
Q4755398,"['Moscow State University of Civil Engineering', 'Moscow State University of Civil Engineering']"
Q6796612,"['University of Medicine 1, Yangon']"
Q17722066,"['College of Medicine, Nursing & Health Sciences', 'University of the South Pacific']"
Q6946800,['Defence Services Academy']
Q22278314,"['Military Engineering-Technical University', 'Naval War College', 'Somali National University']"
Q7553466,['Defence Services Academy']
Q7703507,"['University of Arkansas', 'Pepperdine University', 'College of the Ozarks']"
Q47353221,['Jāzeps Vītols Latvian Academy of Music']
Q51886072,['Collège Don Bosco de Burengo']
Q4777137,['The University of the Arts']
Q5495831,['Copperbelt University']
Q4184054,['National Polytechnic University of Armenia']
Q4275059,['Jāzeps Vītols Latvian Academy of Music']
Q6983237,['King Fahd University of Petroleum and Minerals']
Q13068551,['Mandalay University']
Q16115975,['Tajikistan National Institute of Art']
Q17489523,['University of Novi Sad']
Q4694787,"['Virginia Commonwealth University', 'Baruch College']"
Q3298556,"[""Lycée Dumont d'Urville"", 'Ecole Spéciale Militaire de Saint-Cyr']"
Q12365851,['Estonian Academy of Music and Theatre']
Q7494097,"['University of Malawi', 'University of East London']"
Q7678772,"['Tajikistan National Institute of Art', 'Moscow Conservatory']"
Q481282,['National Polytechnic University of Armenia']
Q13155089,['University of the South Pacific']
Q4057418,['Uzbekistan State Institute of Arts and Culture']
Q7881821,"['Fourah Bay College', 'University of London', 'Columbia University', 'Columbia Law School', 'Njala University']"
Q12378824,['Estonian Academy of Arts']
Q28835670,['Ceylon Medical College']
Q6707636,['University of Namibia']
Q9082563,['National Taiwan University']
