wikidata_code_B,education
Q684999,"['School of Medicine, University of Zagreb']"
Q1722312,['University of Tirana']
Q941388,['Technical University of Moldova']
Q6220548,['Avondale College']
Q544472,['University of Tartu']
Q4767020,['University of Gothenburg']
Q2993602,['Ahmadu Bello University']
Q914837,['Academy of Performing Arts in Bratislava']
Q1986805,"['Saint Petersburg State University', 'Moscow State University', 'Moldova State University']"
Q4102578,['Saint Petersburg State Theatre Arts Academy']
Q7822129,"['The Lodge School', 'Carleton University']"
Q653949,"['Menntaskólinn í Reykjavík', 'University of Iceland', 'University of Oslo']"
Q4164565,['Alexandria University']
Q961411,['National University of San Marcos']
Q1280923,['University of Belgrade School of Electrical Engineering']
Q21074800,"['Rutgers University', 'Seoul National University']"
Q2690110,['Experimental Centre of Cinematography']
Q178793,"['University of Kinshasa', 'Free University of Brussels']"
Q1164735,"['Harvard University', 'Princeton University']"
Q598720,['Pontifical Catholic University of Peru']
Q1951842,['Cairo  University']
Q8202995,"[""Peoples' Friendship University of Russia""]"
Q6123057,"['Addis Ababa University', 'Uppsala University']"
Q8248854,"['Tsinghua University', 'University of Liverpool']"
Q7286316,['University of Arts (Albania)']
Q3430000,"['Cardiff University', 'Damascus University']"
Q1577590,"['Freie Universität Berlin', 'University of Tübingen', 'Technical University of Berlin']"
Q4164381,"['University of Paris (1896-1968)', 'University of Ljubljana']"
Q511448,"['School of Medicine, University of Zagreb']"
Q5668367,['Vilnius Academy of Art']
Q6404765,"['University of the Philippines', 'The Wharton School']"
Q2866650,['Istanbul University']
Q466210,['Ss. Cyril and Methodius University of Skopje']
Q7279515,['Grenoble Institute of Technology']
Q3816803,"['Academy of Arts, Architecture and Design in Prague']"
Q264090,['Law School of the University of Coimbra']
Q2383515,['National Polytechnic University of Armenia']
Q2222883,"['Sacred Heart College, Auckland']"
Q57723,['University of Auckland']
Q10944678,"['University of Belgrade', 'Paris-Sorbonne University - Paris IV']"
Q6547486,['University of Ljubljana']
Q704107,"['Fu Hsing Kang College, National Defense University']"
Q15978220,['Ewha Womans University']
Q2827529,['Tunis University']
Q7686182,['Army Burn Hall College']
Q1882368,['University of Liège']
Q3062580,"['Louisiana State University', 'Liceo Salvadoreño', 'University of El Salvador', 'Université catholique de Louvain']"
Q6518694,"['University of Washington', ""St Catharine's College, Cambridge""]"
Q3055973,['University of Paris (1896-1968)']
Q5111623,['Sofia University']
Q554685,['University of Paris III: Sorbonne Nouvelle']
Q4187362,['Jenderal Soedirman University']
Q727430,['Academy of Performing Arts in Bratislava']
Q20823776,"['University of Dhaka', 'McMaster University']"
Q1299072,['Academy of Performing Arts in Bratislava']
Q2503632,['Rose Bruford College']
Q1617724,['Royal Military Academy Sandhurst']
Q8061915,"['University of Science Malaysia', 'University of Indonesia']"
Q468258,['Moscow Aviation Institute']
Q4121779,['University of Sulaymaniyah']
Q5571390,"['Columbia University', 'Vassar College', 'Complutense University of Madrid']"
Q58276,['University of Caen Normandy']
Q6288088,"['National Chengchi University', 'Ohio State University']"
Q961374,"['Pantheon-Sorbonne University', 'University of Paris (1896-1968)']"
Q3341243,"['University of Michigan', 'Chulalongkorn University', 'Chiang Mai University']"
Q107467,['National Academy of Music']
Q15726535,['MSU Faculty of Mechanics and Mathematics']
Q1981856,['Carleton University']
Q1396681,['University of Tehran']
Q712775,['University of Orléans']
Q15904,['University of Ljubljana']
Q4409116,['Vilnius Academy of Art']
Q57300,['Agricultural University of Tirana']
Q15240778,"['Government College University', 'Pakistan Military Academy', 'Bundeswehr University Munich']"
Q1344568,"['School of Oriental and African Studies', 'University of Bradford', 'University of Ibadan']"
Q22279162,['University of Algiers']
Q2824061,['University of Warsaw']
Q58310,['University of Latvia']
Q21064348,"['Wheaton College', 'CUNY Graduate Center']"
Q4493086,['Gerasimov Institute of Cinematography']
Q197652,['High School attached to Tsinghua University']
Q1258986,['']
Q717983,"[""St. Joseph's College""]"
