wikidata_code_b,education
Q14856058,['Damascus University']
Q16269662,['University of Kinshasa']
Q4667345,['Nalanda College']
Q3529948,"[""S. Thomas' College, Mount Lavinia""]"
Q3285700,"[""Saint Martin's School of Art"", 'Royal College, Colombo']"
Q3331362,['Defence Services Academy']
Q4708955,['En los muelles de la cama']
Q58304,"['University of Warwick', 'Lund University']"
Q27055887,['University of Massachusetts Amherst']
Q5872137,['National University of Asuncion']
Q13030390,['']
Q6324025,['Sri Lanka Law College']
Q3518218,"['University of Manchester Institute of Science and Technology', 'John F. Kennedy School of Government', 'Imperial College London', ""Saint Joseph's Institution, Singapore""]"
Q15431449,['University of Cape Town']
Q21035139,['University of Bologna']
Q2961554,['Forman Christian College']
Q5732774,['University of Panama']
Q1283214,['Graceland University']
Q8349657,['University of Hawaii']
Q4201324,['National University of Uzbekistan']
Q19979326,['Obafemi Awolowo University']
Q6399679,"['University of the Punjab', 'Government College University', 'Punjab University Law College']"
Q7445321,['Moscow State University']
Q624742,['Berea International Theological Seminary']
Q20978204,['Universidad de San Carlos de Guatemala']
Q4181638,['Al-Farabi Kazakh National University']
Q51677231,['École des métiers de Fribourg']
Q3532502,"[""St. Benedict's College, Colombo""]"
Q4758264,"['National University of Singapore', 'Harvard Law School']"
Q12848240,['Azerbaijan High Military School named after Heydar Aliyev']
Q15983152,"['University of the Punjab', 'Punjab University Law College']"
Q4724518,['Concordia University']
Q164492,"['University of Birmingham', 'Vassar College']"
Q331645,['Royal Military Academy Sandhurst']
Q7967461,"['National Taiwan University', 'Chinese Culture University']"
Q26997545,['University of Dhaka']
Q5972550,['Tbilisi State University']
Q20827618,['University of the West Indies']
Q1398236,['University of Nice Sophia-Antipolis']
Q347571,['Cairo  University']
Q16727990,"['University of Delhi', 'National Institute of Design']"
Q3743341,['Estonian Academy of Music and Theatre']
Q5392741,"['Achimota School', 'University of Ghana', ""Presbyterian Boys' Secondary School""]"
Q69585,['United States Army War College']
Q16106054,"['Marquette University', 'Loras College']"
Q8272593,['National Chengchi University']
Q4391082,['Saint Petersburg State University of Engineering and Economics']
Q42501853,"['University of Malta', 'University of Padua', ""Queen's University Belfast""]"
Q16107431,['University of Adelaide']
Q5431087,"['Stanford University', 'Menlo College']"
Q6104671,"['Fourah Bay College', ""King's College London""]"
Q20963645,['University of Zagreb']
Q6449956,"['University of Ghana', 'University of California, Santa Barbara']"
Q14949166,"[""Queen's University Belfast"", 'Northwestern University']"
Q6068885,['University of Ljubljana']
Q1230596,['University of Ljubljana']
Q23430047,"['Free University of Brussels', 'University of Missouri', 'Free University of Brussels']"
Q1325785,['University of Rostock']
Q12057441,['United States Naval Academy']
Q7361495,['Ruskin School of Drawing and Fine Art']
Q7926023,"[""St. Anthony's College, Kandy""]"
Q322893,"['Tbilisi State University', 'University of Jena']"
Q2817259,['University of Cambridge']
Q6893558,"['University of Cambridge', 'McGill University', 'Massachusetts Institute of Technology', 'Royal College, Colombo', 'Concordia University']"
Q5129307,['Pantheon-Sorbonne University']
