wikidata_code_b,education
Q2127022,['The Royal Conservatory of Music']
Q6897399,['Wesleyan University']
Q12011048,['University of Khartoum']
Q3372754,['University of London']
Q6808917,['University of Malaya']
Q8005873,['George Washington University']
Q4746326,['New York University']
Q6393946,['Monash University']
Q2888309,['Universities Allied for Essential Medicines']
Q7289838,"['Ateneo de Manila University', 'University of Santo Tomas']"
Q4715648,['Riga Stradiņš University']
Q2682734,['Erasmus University Rotterdam']
Q16148182,['University of Wisconsin–Milwaukee']
Q2834514,"[""King's College"", 'Inner Temple', 'Athens College']"
Q3169275,['Lille University of Science and Technology']
Q20685030,['Makerere University']
Q13223984,['Comenius University in Bratislava']
Q16730513,['National University of Uzbekistan']
Q19689754,['Kingston University']
Q6891210,"['Howard University', 'University of California, Berkeley']"
Q15437477,"['Makerere University', 'University of Dar es Salaam']"
Q6970022,['Azerbaijan State Oil and Industrial University']
Q2962083,['Cheikh Anta Diop University']
Q17425074,"['University of Texas at Austin', 'University of South Carolina', 'American University of Beirut']"
Q6140150,"['Columbia University', 'University of Dar es Salaam']"
Q5385283,['National University of Mongolia']
Q13124934,['American University']
Q12170059,['University of Kent']
Q8555045,"['London School of Economics and Political Science', 'Wayne State University']"
Q5499595,['Texas A&M University']
Q33069732,"[""Peoples' Friendship University of Russia"", 'Middlesex University']"
Q7376550,['University of El Salvador']
Q3358119,['University of Kinshasa']
Q6186687,['University of Nairobi']
Q4937291,['Pennsylvania State University']
Q4357936,['University of Helsinki']
Q4399373,['Belarusian National Technical University']
Q6032293,['University of London']
Q5269611,['Tribhuvan University']
Q4795443,['University of the Philippines']
Q5531992,"['National Defence Academy', 'M.V. Frunze Military Academy']"
Q5435270,['Kabul University']
Q3229120,['Université de Montréal']
Q27914753,['Université du Québec à Trois-Rivières']
Q19668208,"['University of Chittagong', 'Rajshahi University']"
Q4103103,['Bogdan Khmelnitsky Melitopol State Pedagogical University']
Q5949710,['Tunis University']
Q7130159,"['University of Minnesota', 'Emporia State University']"
Q13218773,['Kyrgyz National University']
Q20985666,['Tribhuvan University']
Q1184198,"['University of the Philippines', 'John F. Kennedy School of Government']"
Q440739,['Faculty of Law at Comenius University in Bratislava']
Q4054828,"['University of Latvia', 'Latvia University of Life Sciences and Technologies']"
Q1086476,"['University of Michigan', 'University of Ghana']"
Q7460985,"['Dhaka College', 'University of Dhaka']"
Q3073469,"['University of Abomey-Calavi', 'Humboldt University of Berlin']"
Q5304930,['University of Belgrade']
Q4772642,"['Massachusetts Institute of Technology', 'University of the West Indies']"
Q14946737,['University of Portland']
Q25597822,['Kyrgyz National University']
Q929760,"['Royal Military Academy Sandhurst', 'University of the South Pacific', 'Whanganui Collegiate School']"
Q12230240,"['Johns Hopkins University', 'Cairo  University']"
Q16187229,['University of Nairobi']
Q969002,['Universidad Nacional Autónoma de Honduras']
Q5998657,['Universidad de San Carlos de Guatemala']
Q5537823,"['University of Delhi', 'Yale Law School', 'University of Zambia']"
Q12291927,['Ss. Cyril and Methodius University of Skopje']
Q3133488,"['Harvard University', 'Aurora University', 'Harvard Graduate School of Education']"
Q11157465,['University of Zagreb']
Q20687430,['University of Greenwich']
Q6176542,['Nkumba University']
Q3407212,['Ss. Cyril and Methodius University of Skopje']
Q5371951,['University of South Florida']
Q15463429,"['Eastern Mennonite University', 'Concordia University']"
Q1871690,['University of Malta']
Q4721095,['Moldova State University']
Q6774141,"['Saint Mary-of-the-Woods College', 'University of Panama']"
Q20809279,['University of London']
Q22005842,"['Pontifical Urbaniana University', 'University of Portland']"
Q6553136,['Kabul University']
Q8053482,['National and Kapodistrian University of Athens']
Q7404586,['Uganda Senior Command and Staff College']
Q26997565,['Middlesex University']
Q3655866,"['The Wharton School', 'University of the Philippines']"
Q5544562,"['University of Portsmouth', 'University College London', 'University of Guyana']"
Q7492933,['Dhaka College']
Q5924495,['University of Yangon']
Q26964640,"['University of Cape Verde', 'Lisbon School of Economics and Management', 'University of Pittsburgh']"
Q72073,['Ss. Cyril and Methodius University of Skopje']
Q7689282,"['University of Wisconsin Law School', 'University of Ghana']"
Q12044704,['Academy of Performing Arts in Bratislava']
Q21009742,['Tribhuvan University']
Q194627,"['University of Benghazi', 'School of Medicine, University of Zagreb']"
Q337405,['Moscow Conservatory']
Q4333487,"['Technical University of Moldova', 'Moldova State University']"
Q17037526,['Makerere University']
Q128483,['Ss. Cyril and Methodius University of Skopje']
Q3435215,['Saint Joseph University']
Q22712330,['Tajik National University']
Q2959525,['Université Félix Houphouët-Boigny']
Q2637206,"['University of Ghana', 'Ghana School of Law']"
Q5066961,['Academy of Performing Arts in Bratislava']
Q2840906,"['Institut National des Arts, Bamako']"
Q7492936,['Dhaka College']
Q6285933,['Kenyatta University']
Q1849724,"['University of Western Ontario', 'Malvern College']"
Q5948820,"['Andrés Bello Catholic University', 'Boston University', 'Higher University of San Andrés']"
Q4390305,['Francisk Skorina Gomel State University']
Q15440583,['Damascus University']
Q7695157,['Tribhuvan University']
Q5561139,"['Marien Ngouabi University', 'Paris 13 University', 'Panthéon-Assas University']"
Q28137500,['Kabul University']
Q3335013,"['University of Washington', 'Washington State University', 'Rensselaer Polytechnic Institute', 'University of Tennessee']"
Q1457599,['Université Félix Houphouët-Boigny']
Q6764592,['Briar Cliff University']
Q7645405,['University of Dhaka']
Q4450987,['Yerevan State University']
Q20534699,['National University of Uzbekistan']
Q7679127,"['University of Pennsylvania School of Design', 'Cairo  University', 'Illinois Institute of Technology']"
Q7244815,['Petra University']
Q6871391,['University of Montenegro Faculty of Law']
Q4219368,['Tajik National University']
Q17315701,['Maxim Gorky Literature Institute']
Q12875947,['University of East London']
Q3369176,"['Stanford University', 'Supélec']"
Q1698546,['Mfantsipim School']
Q7412785,"[""Peoples' Friendship University of Russia""]"
Q3490066,['Newington College']
Q12115685,['Maxim Gorky Literature Institute']
Q7351747,['Higher University of San Andrés']
Q4798444,"['University of the Philippines', 'Central Philippine University']"
Q6063380,['Moldova State University']
Q6668091,['University of Limpopo']
Q11691071,['Georgia Institute of Technology']
Q7563912,"['University of Dar es Salaam', 'University of Göttingen', 'Technical University of Berlin']"
Q19832256,"['Claude Bernard University Lyon 1', 'University of Paris VI: Pierre-and-Marie-Curie University']"
Q13058677,['Jamia Binoria']
Q6112184,['Universidad de San Carlos de Guatemala']
