wikidata_code_B,education
Q41309,['University of Music and Performing Arts Vienna']
Q83326,['Franz Liszt Academy of Music']
Q44003,['University of Vienna']
Q57641,"['Teleki Blanka high school and junior high school', 'Eötvös Loránd University']"
Q151523,"['Humboldt University of Berlin', 'Eötvös Loránd University']"
Q173746,['Eötvös Loránd University']
Q117144,['Reformed College of Debrecen']
Q59736,['University of Vienna']
Q78494,['University of Vienna']
Q81219,"['Fasori Gimnázium', 'Piarist Gymnasium of Budapest', 'Pápai Református Kollegium']"
Q54030,['University of Padua']
Q157040,['Eötvös Loránd University']
Q128085,['Franz Liszt Academy of Music']
Q153008,['Franz Liszt Academy of Music']
Q36951,"['Pázmány Péter Catholic University', 'Leipzig University', 'Eötvös Loránd University']"
Q191917,['Prague Conservatory']
Q296809,['University of Geneva']
Q296249,"['Moscow State University', 'University of Debrecen']"
Q318029,['Eötvös Loránd University']
Q151646,['Babeș-Bolyai University']
Q155786,"['Humboldt University of Berlin', 'Budapest University of Technology and Economics']"
Q211392,"['University of Debrecen', 'Eötvös Loránd University']"
Q313359,"['University of Szeged', 'Franz Joseph University']"
Q156473,['Theresian Military Academy']
Q312944,['University of Theatre and Film Arts']
Q163087,['Eötvös Loránd University']
Q159976,"['University of Music and Theatre Leipzig', 'University of Music and Performing Arts Vienna']"
Q213712,['École nationale supérieure des Beaux-Arts']
Q89394,"['Charles University', 'Johns Hopkins University', 'McGill University']"
Q162655,['']
Q231948,['University of Debrecen']
Q164106,['Eötvös Loránd University']
Q177610,['Eötvös Loránd University']
Q316556,['Reformed College of Debrecen']
Q16924,['Theresian Military Academy']
Q191337,"['ELTE Apáczai Csere János Gyakorló Gimnázium és Kollégium', 'Türr István Gimnázium és Kollégium', 'University of Pécs']"
Q55218,['University of Theatre and Film Arts']
Q335466,['University of Vienna']
Q235125,['Eötvös Loránd University']
Q102200,['Eötvös Loránd University']
Q346703,['Eötvös Loránd University']
Q332482,"['Eötvös Loránd University', 'Gymnasium of Cistercian Order of the Louis the Great']"
Q427319,['Franz Liszt Academy of Music']
Q442801,['University of Szeged']
Q472270,['Eötvös Loránd University']
Q186089,"['Moholy-Nagy University of Art and Design', 'Budapest University of Technology and Economics']"
Q48184,['Franz Liszt Academy of Music']
Q332484,['Eötvös Loránd University']
Q336493,"['University of Oxford', 'Humboldt University of Berlin', 'Heidelberg University', 'Eötvös Loránd University']"
Q551652,"['Academy of Fine Arts Vienna', 'Academy of Fine Arts, Munich', 'Kunstakademie Düsseldorf', 'Hungarian University of Fine Arts']"
Q963628,['University of Theatre and Film Arts']
Q259240,"['University of Theatre and Film Arts', 'University of Szeged']"
Q512062,"['University of Szeged', 'Eötvös Loránd University']"
Q155684,['Rostov State Economics University']
Q355907,['Eötvös Loránd University']
Q335153,['London School of Economics and Political Science']
Q57467,"['Révai Miklós Gimnázium', 'Eötvös Loránd University']"
Q355291,['University of Göttingen']
Q316820,['Franz Liszt Academy of Music']
Q238716,['Eötvös Loránd University']
Q221903,"['Sárospatak Reformed College', '']"
Q374674,"['Eötvös Loránd University', 'Humboldt University of Berlin', 'Leiden University', 'Leipzig University']"
Q323331,"['Stuyvesant High School', 'Courant Institute of Mathematical Sciences']"
Q184810,"['Corvinus University of Budapest', 'University of Physical Education']"
Q323260,['Heidelberg University']
Q667655,"['Béla III High School', 'University of Southern California']"
Q360094,['University of Padua']
Q508823,['']
Q469963,['Eötvös Loránd University']
Q55230,"['Charles University', 'University of Stuttgart']"
Q227312,['University of Debrecen']
Q557561,"['Eötvös Loránd University', 'Humboldt University of Berlin', 'University of Edinburgh']"
Q381107,['University of Paris (1896-1968)']
Q344780,['Eötvös Loránd University']
Q218958,['Franz Liszt Academy of Music']
Q285833,"['Piarist Gymnasium of Budapest', 'Pázmány Péter Catholic University', '', 'Central seminary (Budapest)', 'Pontifical Lateran University', '']"
Q6495014,['New York University Tisch School of the Arts']
Q506973,['Eötvös Loránd University']
Q176170,['Eötvös Loránd University']
Q444423,['University of Pécs']
Q239214,['University of Music and Performing Arts Vienna']
Q453876,"['', 'University of Theatre and Film Arts']"
Q570810,"['Piarist Gymnasium of Budapest', 'Eötvös Loránd University']"
Q529130,"['Theresianum', 'Eötvös Loránd University', '']"
Q326823,['Eötvös Loránd University']
Q315589,['Franz Liszt Academy of Music']
Q559828,"['Pontifical Gregorian University', 'University of Vienna']"
Q702016,['University of Zagreb']
Q389851,['Franz Liszt Academy of Music']
Q428042,['Franz Liszt Academy of Music']
Q205642,"['Eötvös Loránd University', 'University of Strasbourg']"
Q257427,['Gerasimov Institute of Cinematography']
Q454688,['Franz Liszt Academy of Music']
Q520053,['Eötvös Loránd University']
Q470011,['Eötvös Loránd University']
Q933913,['University of Music and Performing Arts Vienna']
Q725467,"['University of Bucharest', 'Boston University', 'Eötvös Loránd University']"
Q179735,['Eötvös Loránd University']
Q742429,['Gymnasium of Cistercian Order of the Louis the Great']
Q273962,"['Corvinus University of Budapest', 'University of Theatre and Film Arts']"
Q252311,['University of Göttingen']
Q313443,['Budapest University of Technology and Economics']
Q537284,"['University of Theatre and Film Arts', 'University of Theatre and Film Arts']"
Q152335,"['', 'University of Pécs']"
Q551538,['University of Vienna']
Q380366,"['University of Zurich', 'University of Göttingen', 'Eötvös Loránd University']"
Q273974,['Humboldt University of Berlin']
Q465715,"['University of Szeged', 'Eötvös Loránd University']"
Q294065,"['Budapest University of Technology and Economics', 'Bauakademie']"
Q655293,['École nationale supérieure des Beaux-Arts']
Q218979,"['Budai Ciszterci Szent Imre Gimnázium', 'Budapest University of Technology and Economics']"
Q503253,"['Franz Liszt Academy of Music', 'Accademia nazionale di Santa Cecilia']"
Q188225,['Catholic University of Louvain']
Q742322,"['Academy of Fine Arts, Munich']"
Q240652,['Franz Liszt Academy of Music']
Q215739,['Conservatoire national supérieur de musique et de danse']
Q742045,['Eötvös Loránd University']
Q933988,['Eötvös Loránd University']
Q709178,['Franz Liszt Academy of Music']
Q367539,"['Franz Liszt Academy of Music', 'Accademia nazionale di Santa Cecilia']"
Q201579,"['International Writing Program', 'Eötvös Loránd University']"
Q834127,"['Eötvös Loránd University', 'Trinity College']"
Q1072997,['TU Wien']
Q291667,['Franz Liszt Academy of Music']
Q305054,['ETH Zurich']
Q123330,['Eötvös Loránd University']
Q669910,"['Charles University', 'Eötvös Loránd University', 'Ludovica Military Academy']"
Q338824,['Budapest University of Technology and Economics']
Q439709,"['Eötvös Loránd University', 'Moscow State University']"
Q156487,['Corvinus University of Budapest']
Q469574,['Eötvös Loránd University']
Q697179,['University of Halle-Wittenberg']
Q535323,['Franz Liszt Academy of Music']
Q918438,['Fordham University']
Q218911,"['University of Theatre and Film Arts', 'Hungarian University of Fine Arts']"
Q19063,['Eötvös Loránd University']
Q832221,['Eötvös Loránd University']
Q257803,['Babeș-Bolyai University']
Q897421,"['Bolyai University', 'Babeș-Bolyai University']"
Q652975,"['Academy of Fine Arts, Munich']"
Q11893,['University of Vienna']
Q725303,"['University of Vienna', 'Humboldt University of Berlin']"
Q1046993,['University of Theatre and Film Arts']
Q721776,['Eötvös Loránd University']
Q561656,['Eötvös Loránd University']
Q525792,"['Piarist grammar school Dugonics András', 'University of Szeged', 'Franz Joseph University']"
Q1011241,['University of Theatre and Film Arts']
Q19469,['Eötvös Loránd University']
Q527997,"['Theresianum', 'University of Vienna']"
Q18712,"['Piarist High School, Timișoara']"
Q638941,['University of Theatre and Film Arts']
Q73769,"['Gardonyi Geza Cistercian High School, Eger, Hungary']"
Q249545,['University of Music and Performing Arts Vienna']
Q830994,['Babeș-Bolyai University']
Q701640,"['Piarist High School, Timișoara']"
Q599840,['Hungarian University of Fine Arts']
Q957256,['Eötvös Loránd University']
Q764913,['Eötvös Loránd University']
Q730344,['Hungarian University of Fine Arts']
Q441053,['Franz Liszt Academy of Music']
Q383528,"['University of California, Los Angeles']"
Q961302,['Franz Liszt Academy of Music']
Q874588,"['Pápai Református Kollegium', 'Eötvös Loránd University']"
Q706277,['Eötvös Loránd University']
Q362746,['Eötvös Loránd University']
Q469347,['University of Theatre and Film Arts']
Q632046,"['Academy of Fine Arts, Munich']"
Q774280,['Eötvös Loránd University']
Q909553,"['', 'Eötvös Loránd University']"
Q854411,['Budapest University of Technology and Economics']
Q18798,['Ludovica Military Academy']
Q1028400,['Eötvös Loránd University']
Q461944,"['Moscow State Institute of International Relations', 'Corvinus University of Budapest']"
Q337876,"['TU Wien', 'Academy of Fine Arts Vienna', 'Budapest University of Technology and Economics']"
Q963663,['Eötvös Loránd University']
Q19059,['Budapest University of Technology and Economics']
Q507813,['University of Theatre and Film Arts']
Q340174,['Eötvös Loránd University']
Q558419,['Eötvös Loránd University']
Q712013,['Franz Liszt Academy of Music']
Q721759,['']
Q12865,['']
Q721791,['University of Theatre and Film Arts']
Q18165,['Hungarian University of Fine Arts']
Q80258,"['Eötvös Loránd University', 'University of Bonn']"
Q453518,['Eötvös Loránd University']
Q355812,"['Harvard University', 'Corvinus University of Budapest']"
Q329295,['University College London']
Q144313,"['Veres Péter Gimnázium', 'Budapest Metropolitan University']"
Q301125,['Frederick William University']
Q644548,['University of Zurich']
Q665460,['Franz Liszt Academy of Music']
Q15030,['Eötvös Loránd University']
Q57595,['Corvinus University of Budapest']
Q701504,['University of Vienna']
Q465476,"['Türr István Gimnázium és Kollégium', 'Eötvös Loránd University']"
Q1347757,['Franz Liszt Academy of Music']
Q853217,['University of Theatre and Film Arts']
Q287822,['Eötvös Loránd University']
Q551909,['University of Göttingen']
Q214123,['Franz Liszt Academy of Music']
Q205120,['Columbia University']
Q833384,['Königliche Kunstgewerbeschule München']
Q517710,['Eötvös Loránd University']
Q640420,"['Piarist Gymnasium of Budapest', 'Corvinus University of Budapest']"
Q583036,"['', 'Eötvös Loránd University']"
Q899922,['Semmelweis University']
Q505550,['University of Theatre and Film Arts']
Q687205,['Franz Liszt Academy of Music']
Q469964,"['', 'University of Theatre and Film Arts']"
Q12628,['Eötvös Loránd University']
Q728712,['Academy of Fine Arts Vienna']
Q221153,['University of Theatre and Film Arts']
Q740416,['Pontificio Ateneo Sant Anselmo']
Q384387,['TU Wien']
Q567359,"['Franz Liszt Academy of Music', 'Eötvös Loránd University']"
Q2634647,"['Indiana University', 'Harvard University']"
Q281741,['Corvinus University of Budapest']
Q725328,['University of Theatre and Film Arts']
