Name,Q code
University of Oxford,Q34433
California Institute of Technology,Q161562
University of Cambridge,Q35794
Stanford University,Q41506
Massachusetts Institute of Technology,Q49108
Princeton University,Q21578
Harvard University,Q13371
Yale University,Q49112
University of Chicago,Q131252
Imperial College London,Q189022
University of Pennsylvania,Q49117
Johns Hopkins University,Q193727
"University of California, Berkeley",Q168756
ETH Zurich,Q11942
UCL,Q193196
Columbia University,Q49088
"University of California, Los Angeles",Q174710
University of Toronto,Q180865
Cornell University,Q49115
Duke University,Q168751
Northwestern University,Q309350
Tsinghua University,Q16955
Peking University,Q16952
National University of Singapore,Q738236
University of Washington,Q219563
Carnegie Mellon University,Q190080
London School of Economics and Political Science,Q174570
New York University,Q49210
University of Edinburgh,Q160302
"University of California, San Diego",Q622664
University of Melbourne,Q319078
University of British Columbia,Q391028
University of Hong Kong,Q15568
Georgia Institute of Technology,Q864855
University of Texas at Austin,Q49213
McGill University,Q201492
Technical University of Munich,Q157808
Heidelberg University,Q151510
Australian National University,Q127990
Brown University,Q49114
University of North Carolina at Chapel Hill,Q192334
"University of California, Davis",Q129421
University of Manchester,Q230899
"University of California, Santa Barbara",Q263064
Chinese University of Hong Kong,Q15570
Wageningen University & Research,Q422208
University of Sydney,Q487556
Boston University,Q49110
University of Amsterdam,Q214341
University of Southern California,Q4614
Seoul National University,Q39913
Kyoto University,Q336264
University of Queensland,Q866012
Delft University of Technology,Q752663
Leiden University,Q156598
Erasmus University Rotterdam,Q633529
McMaster University,Q632891
University of Groningen,Q850730
Humboldt University of Berlin,Q152087
Monash University,Q598841
Utrecht University,Q221653
University of Warwick,Q865528
University of Minnesota,Q238101
University of Science and Technology of China,Q1074103
Sorbonne University,Q41497113
Michigan State University,Q270222
University of Freiburg,Q153987
University of Bristol,Q459506
University of Zurich,Q206702
University of Tübingen,Q153978
École Polytechnique,Q273626
University of Basel,Q372608
Dartmouth College,Q49116
"University of California, Irvine",Q868421
University of Helsinki,Q28695
Lund University,Q218506
University of Glasgow,Q192775
RWTH Aachen University,Q273263
University of Copenhagen,Q186285
Georgetown University,Q333886
Uppsala University,Q185246
University of Arizona,Q503419
University of Bonn,Q152171
Rice University,Q842909
Zhejiang University,Q197543
Fudan University,Q495015
Queen Mary University of London,Q195668
University of Birmingham,Q223429
University of Bern,Q659080
Aarhus University,Q924265
Vanderbilt University,Q29052
University of Sheffield,Q823917
Case Western Reserve University,Q1047060
University of Adelaide,Q15574
National Taiwan University,Q32746
University of Southampton,Q76473
Ghent University,Q1137665
University of Colorado Boulder,Q736674
University of Göttingen,Q152838
City University of Hong Kong,Q787360
Maastricht University,Q1137652
Radboud University Nijmegen,Q632004
University of York,Q967165
University of Paris,Q209842
University of Oslo,Q486156
University of Western Australia,Q1517021
Indiana University,Q6608367
University of Vienna,Q165980
University of Alberta,Q640694
University of Cape Town,Q951305
Tufts University,Q49120
University of Ottawa,Q627969
University of Geneva,Q503473
University of Exeter,Q1414861
University of Sussex,Q1161297
University of Hamburg,Q156725
Technical University of Berlin,Q51985
University of Nottingham,Q472316
University of Leeds,Q503424
Autonomous University of Barcelona,Q43452
University of Cologne,Q54096
University of Mannheim,Q317070
University of Notre Dame,Q178848
TU Dresden,Q158158
University of Würzburg,Q161976
Trinity College Dublin,Q258464
University of Liverpool,Q499510
Bielefeld University,Q24382
University of Leicester,Q1333399
University of Aberdeen,Q270532
University of Bologna,Q131262
Hong Kong Polytechnic University,Q1187271
Northeastern University,Q37548
University of Rochester,Q149990
University of Florida,Q501758
Stockholm University,Q221645
Texas A&M University,Q49212
University of Auckland,Q492467
Korea University,Q39997
Aalto University,Q300980
Technical University of Denmark,Q1269766
University of Gothenburg,Q371522
Télécom Paris,Q2311820
University of Münster,Q168426
Tel Aviv University,Q319239
University of East Anglia,Q1045828
University of Canberra,Q1640648
University of Duisburg-Essen,Q696757
University of Technology Sydney,Q1145731
University of the Witwatersrand,Q534643
University of Antwerp,Q175241
Cardiff University,Q1035745
George Washington University,Q432637
University of Lausanne,Q658975
University of Barcelona,Q219615
University of Bergen,Q204457
Brandeis University,Q49119
University of Calgary,Q1067471
University of Dundee,Q1249005
Griffith University,Q1202292
Hebrew University of Jerusalem,Q174158
Howard University,Q1068752
University of Iowa,Q182973
King Abdulaziz University,Q1795928
University of Konstanz,Q835440
University of Luxembourg,Q59668
Macquarie University,Q741082
University of Massachusetts,Q1061122
University of Miami,Q738258
Moscow Institute of Physics and Technology,Q1367256
Newcastle University,Q837164
University of Otago,Q1201513
University of Padua,Q193510
University of Reading,Q1432632
University College Dublin,Q1068258
University of Utah,Q168515
Vrije Universiteit Brussel,Q612665
William & Mary,Q875637
University of Wollongong,Q1350021
Auckland University of Technology,Q758659
Autonomous University of Madrid,Q788091
University of Bath,Q1422458
University at Buffalo,Q681025
Chalmers University of Technology,Q836805
University of Cincinnati,Q153265
Curtin University,Q1145497
Dalhousie University,Q579321
University of Delaware,Q1068072
École des Ponts ParisTech,Q273523
University of Essex,Q1075104
Flinders University,Q15575
Florida State University,Q861548
George Mason University,Q1411222
University of Illinois at Chicago,Q955764
La Trobe University,Q1478723
University of Oregon,Q766145
University of Oulu,Q1357517
Ruhr University Bochum,Q309948
University of São Paulo,Q835960
Sapienza University of Rome,Q209344
