Name,Q code,founding,Rank,Country/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Number of graduates,Mean rank,Median rank
University of Oxford,Q34433,1096,1,United Kingdom,95.4,90.5,99.6,98.4,65.5,96.4,190,375238,240493
California Institute of Technology,Q161562,1891,2,United States,94.5,92.1,97.2,97.9,88.0,82.5,3,222254,133227
University of Cambridge,Q35794,1209,3,United Kingdom,94.4,91.4,98.7,95.8,59.3,95.0,153,361968,173633
Stanford University,Q41506,1891,4,United States,94.3,92.8,96.4,99.9,66.2,79.5,47,352617,219871
Massachusetts Institute of Technology,Q49108,1861,5,United States,93.6,90.5,92.4,99.5,86.9,89.0,42,322262,157098
Princeton University,Q21578,1746,6,United States,93.2,90.3,96.3,98.8,58.6,81.1,42,270776,131383
Harvard University,Q13371,1636,7,United States,93.0,89.2,98.6,99.1,47.3,76.3,192,340484,183801
Yale University,Q49112,1701,8,United States,91.7,92.0,94.8,97.3,52.4,68.7,47,269287,131949
University of Chicago,Q131252,1890,9,United States,90.2,89.1,91.4,96.7,52.7,76.0,24,240636,129137
Imperial College London,Q189022,1907,10,United Kingdom,89.8,84.5,87.6,97.0,69.9,97.1,16,551109,488388
University of Pennsylvania,Q49117,1740,11,United States,89.6,87.5,90.4,98.2,74.0,65.0,43,454549,232900
Johns Hopkins University,Q193727,1876,12,United States,89.2,81.7,91.4,98.3,91.3,73.2,24,598580,378623
"University of California, Berkeley",Q168756,1868,13,United States,88.3,83.0,90.6,99.2,46.1,70.4,44,332444,191982
ETH Zurich,Q11942,1855,13,Switzerland,88.3,81.8,92.8,90.3,56.8,98.2,8,228634,74247
UCL,Q193196,1826,15,United Kingdom,87.1,77.8,88.7,96.1,42.7,96.2,23,92879,70180
Columbia University,Q49088,1754,16,United States,87.0,85.6,82.6,98.2,44.8,79.3,71,481664,197805
"University of California, Los Angeles",Q174710,1919,17,United States,86.8,83.1,88.6,97.3,51.3,64.1,24,246143,137349
University of Toronto,Q180865,1827,18,Canada,85.5,76.6,89.5,93.6,50.5,84.7,27,378615,64758
Cornell University,Q49115,1865,19,United States,85.1,79.7,86.0,96.6,37.1,73.4,34,420445,265557
Duke University,Q168751,1838,20,United States,84.0,82.4,76.8,97.0,99.9,61.5,10,590258,536198
Northwestern University,Q309350,1851,22,United States,83.5,74.2,83.8,97.8,78.4,64.1,10,548288,561698
Tsinghua University,Q16955,1911,23,China,82.6,86.6,94.0,74.6,100.0,47.4,11,141571,146761
Peking University,Q16952,1898,24,China,82.3,89.1,90.0,73.2,86.6,59.6,17,236627,89698
National University of Singapore,Q738236,1905,25,Singapore,81.9,76.8,90.4,76.9,58.8,95.5,43,611040,536762
University of Washington,Q219563,1861,26,United States,81.6,72.2,82.2,98.6,47.5,60.4,13,676328,259557
Carnegie Mellon University,Q190080,1900,27,United States,81.3,65.9,82.7,98.2,50.5,80.6,2,81746,81746
London School of Economics and Political Science,Q174570,1895,27,United Kingdom,81.3,69.0,83.0,92.8,35.1,93.2,77,362001,246620
New York University,Q49210,1831,29,United States,81.1,76.8,77.5,96.5,38.7,65.4,36,372914,147474
University of Edinburgh,Q160302,1583,30,United Kingdom,79.4,67.3,74.1,96.4,38.9,93.8,27,604003,376286
"University of California, San Diego",Q622664,1960,31,United States,78.8,62.6,78.9,97.7,90.3,63.7,5,209142,209105
University of Melbourne,Q319078,1853,32,Australia,77.8,65.9,74.1,89.8,76.3,93.1,9,205692,236442
University of British Columbia,Q391028,1908,34,Canada,76.3,61.5,73.2,92.5,43.8,94.4,8,326985,344239
University of Hong Kong,Q15568,1911,35,Hong Kong,75.9,69.5,77.2,76.6,59.7,98.6,37,357414,310407
Georgia Institute of Technology,Q864855,1885,38,United States,75.4,60.2,76.4,90.4,61.6,77.1,3,790353,889689
University of Texas at Austin,Q49213,1883,38,United States,75.4,68.2,76.2,93.2,46.6,39.1,18,430679,218169
McGill University,Q201492,1821,42,Canada,74.3,65.0,71.9,84.7,42.8,90.4,18,669674,449232
Technical University of Munich,Q157808,1868,43,Germany,74.1,64.6,70.4,85.5,100.0,72.9,2,454028,454028
Heidelberg University,Q151510,1386,44,Germany,73.5,67.1,60.3,96.2,54.6,67.5,13,264928,97632
Australian National University,Q127990,1946,50,Australia,72.1,54.4,69.7,88.4,46.4,95.5,14,710833,463200
Brown University,Q49114,1765,53,United States,70.0,64.0,56.1,94.9,36.5,61.4,8,291719,214510
University of North Carolina at Chapel Hill,Q192334,1789,54,United States,69.9,59.7,63.2,96.9,43.9,38.0,5,427469,387620
"University of California, Davis",Q129421,1905,55,United States,69.7,62.4,66.9,83.2,51.4,62.4,6,532960,228014
University of Manchester,Q230899,2004,55,United Kingdom,69.7,56.9,63.8,85.2,44.7,91.0,23,590495,416946
"University of California, Santa Barbara",Q263064,1909,57,United States,69.6,47.9,63.6,96.4,84.5,68.1,6,388292,413950
Chinese University of Hong Kong,Q15570,1963,57,Hong Kong,69.6,55.8,62.8,84.5,55.2,97.8,13,409158,294724
Wageningen University & Research,Q422208,1918,59,Netherlands,69.4,49.3,57.1,96.1,100.0,81.9,1,343662,343662
University of Sydney,Q487556,1850,60,Australia,69.3,51.0,61.5,90.7,67.7,89.2,16,164584,35203
Boston University,Q49110,1869,61,United States,68.5,57.3,55.6,95.7,41.4,64.4,18,553489,517223
University of Amsterdam,Q214341,1632,62,Netherlands,68.1,48.0,63.4,91.2,45.3,82.0,9,380674,58595
University of Southern California,Q4614,1880,62,United States,68.1,54.7,59.3,93.1,39.7,66.2,30,306940,128499
Seoul National University,Q39913,1946,64,South Korea,68.0,72.3,71.6,66.5,86.6,35.8,33,218438,220108
Kyoto University,Q336264,1869,65,Japan,67.7,73.7,78.1,59.9,66.2,33.7,5,65084,80668
University of Queensland,Q866012,1909,66,Australia,67.4,49.3,58.7,86.8,80.9,92.5,8,603319,480184
Delft University of Technology,Q752663,1842,67,Netherlands,66.7,55.3,72.3,63.2,99.4,92.8,2,63697,63697
Leiden University,Q156598,1575,67,Netherlands,66.7,48.3,65.0,83.1,72.7,79.4,13,526534,58595
Erasmus University Rotterdam,Q633529,1913,69,Netherlands,66.3,39.4,57.3,97.1,63.6,87.3,5,306297,79492
McMaster University,Q632891,1887,72,Canada,65.4,44.5,50.1,94.8,94.0,82.7,7,68774,8229
University of Groningen,Q850730,1614,73,Netherlands,65.1,42.3,55.6,91.6,79.8,82.5,6,53016,28487
Humboldt University of Berlin,Q152087,1809,74,Germany,65.0,61.8,66.8,67.9,40.2,67.8,9,212886,40163
Monash University,Q598841,1958,75,Australia,64.7,47.3,56.6,83.8,67.2,89.9,12,345036,276886
Utrecht University,Q221653,1636,75,Netherlands,64.7,44.1,61.2,88.4,65.3,65.5,4,561108,34882
University of Warwick,Q865528,1965,77,United Kingdom,64.6,46.9,52.7,88.8,42.8,93.8,13,558700,332385
University of Minnesota,Q238101,1851,79,United States,64.1,55.2,59.3,82.7,78.2,40.2,15,456827,285094
University of Science and Technology of China,Q1074103,1958,80,China,64.0,64.6,59.5,74.7,79.6,31.3,1,145921,145921
Sorbonne University,Q41497113,2018,80,France,64.0,62.3,50.6,79.9,38.4,69.2,55,374507,293721
Michigan State University,Q270222,1855,84,United States,63.9,56.6,57.4,80.0,37.8,63.3,9,250848,209069
University of Freiburg,Q153987,1457,86,Germany,63.3,49.1,51.6,83.1,100.0,75.7,10,47004,36608
University of Bristol,Q459506,1909,87,United Kingdom,63.2,41.8,48.4,95.5,40.9,86.6,8,195187,109551
University of Zurich,Q206702,1833,90,Switzerland,62.8,47.0,46.7,88.2,53.0,92.2,9,120500,59490
University of Tübingen,Q153978,1477,91,Germany,62.7,51.2,56.2,80.1,67.0,64.0,11,104824,47583
École Polytechnique,Q273626,1794,93,France,62.5,59.6,49.1,70.2,69.6,95.2,12,356481,221972
University of Basel,Q372608,1460,94,Switzerland,62.4,43.0,41.2,91.4,99.4,96.1,4,252361,249161
Dartmouth College,Q49116,1769,94,United States,62.4,58.4,39.9,96.4,41.0,39.6,5,575660,471306
"University of California, Irvine",Q868421,1965,96,United States,62.3,43.3,46.5,94.9,58.9,71.9,2,573614,573614
University of Helsinki,Q28695,1640,96,Finland,62.3,43.4,59.3,88.1,38.1,55.1,25,105872,56251
Lund University,Q218506,1666,96,Sweden,62.3,40.7,54.3,86.3,81.0,77.7,12,619793,367751
University of Glasgow,Q192775,1451,99,United Kingdom,62.2,41.1,47.9,91.8,40.0,92.3,5,596670,542847
RWTH Aachen University,Q273263,1870,99,Germany,62.2,55.6,61.5,67.3,98.1,59.0,3,225868,131138
University of Copenhagen,Q186285,1479,101,Denmark,62.1,48.1,44.1,89.6,48.1,85.4,14,107112,83449
Georgetown University,Q333886,1789,102,United States,61.9,57.3,37.9,93.9,62.5,47.2,33,732810,552092
Uppsala University,Q185246,1477,102,Sweden,61.9,41.6,56.4,85.0,74.6,68.1,10,116313,23178
University of Arizona,Q503419,1885,104,United States,61.8,52.6,53.7,85.3,52.7,40.2,6,878411,785617
University of Bonn,Q152171,1818,105,Germany,61.6,47.6,47.0,88.0,93.3,60.3,8,184197,43586
Rice University,Q842909,1891,105,United States,61.6,49.1,39.7,93.7,45.4,77.0,2,640504,640504
