Rank,Name,Country/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Number of graduates,Mean rank,Median rank
1,University of Oxford,United Kingdom,95.4,90.5,99.6,98.4,65.5,96.4,190,375238,240493
2,California Institute of Technology,United States,94.5,92.1,97.2,97.9,88.0,82.5,3,222254,133227
3,University of Cambridge,United Kingdom,94.4,91.4,98.7,95.8,59.3,95.0,153,361968,173633
4,Stanford University,United States,94.3,92.8,96.4,99.9,66.2,79.5,47,352617,219871
5,Massachusetts Institute of Technology,United States,93.6,90.5,92.4,99.5,86.9,89.0,42,322262,157098
6,Princeton University,United States,93.2,90.3,96.3,98.8,58.6,81.1,42,270776,131383
7,Harvard University,United States,93.0,89.2,98.6,99.1,47.3,76.3,192,340484,183801
8,Yale University,United States,91.7,92.0,94.8,97.3,52.4,68.7,47,269287,131949
9,University of Chicago,United States,90.2,89.1,91.4,96.7,52.7,76.0,24,240636,129137
10,Imperial College London,United Kingdom,89.8,84.5,87.6,97.0,69.9,97.1,16,551109,488388
11,University of Pennsylvania,United States,89.6,87.5,90.4,98.2,74.0,65.0,43,454549,232900
12,Johns Hopkins University,United States,89.2,81.7,91.4,98.3,91.3,73.2,24,598580,378623
13,"University of California, Berkeley",United States,88.3,83.0,90.6,99.2,46.1,70.4,44,332444,191982
13,ETH Zurich,Switzerland,88.3,81.8,92.8,90.3,56.8,98.2,8,228634,74247
15,UCL,United Kingdom,87.1,77.8,88.7,96.1,42.7,96.2,23,92879,70180
16,Columbia University,United States,87.0,85.6,82.6,98.2,44.8,79.3,71,481664,197805
17,"University of California, Los Angeles",United States,86.8,83.1,88.6,97.3,51.3,64.1,24,246143,137349
18,University of Toronto,Canada,85.5,76.6,89.5,93.6,50.5,84.7,27,378615,64758
19,Cornell University,United States,85.1,79.7,86.0,96.6,37.1,73.4,34,420445,265557
20,Duke University,United States,84.0,82.4,76.8,97.0,99.9,61.5,10,590258,536198
22,Northwestern University,United States,83.5,74.2,83.8,97.8,78.4,64.1,10,548288,561698
23,Tsinghua University,China,82.6,86.6,94.0,74.6,100.0,47.4,11,141571,146761
24,Peking University,China,82.3,89.1,90.0,73.2,86.6,59.6,17,236627,89698
25,National University of Singapore,Singapore,81.9,76.8,90.4,76.9,58.8,95.5,43,611040,536762
26,University of Washington,United States,81.6,72.2,82.2,98.6,47.5,60.4,13,676328,259557
27,Carnegie Mellon University,United States,81.3,65.9,82.7,98.2,50.5,80.6,2,81746,81746
27,London School of Economics and Political Science,United Kingdom,81.3,69.0,83.0,92.8,35.1,93.2,77,362001,246620
29,New York University,United States,81.1,76.8,77.5,96.5,38.7,65.4,36,372914,147474
30,University of Edinburgh,United Kingdom,79.4,67.3,74.1,96.4,38.9,93.8,27,604003,376286
31,"University of California, San Diego",United States,78.8,62.6,78.9,97.7,90.3,63.7,5,209142,209105
32,University of Melbourne,Australia,77.8,65.9,74.1,89.8,76.3,93.1,9,205692,236442
34,University of British Columbia,Canada,76.3,61.5,73.2,92.5,43.8,94.4,8,326985,344239
35,University of Hong Kong,Hong Kong,75.9,69.5,77.2,76.6,59.7,98.6,37,357414,310407
38,Georgia Institute of Technology,United States,75.4,60.2,76.4,90.4,61.6,77.1,3,790353,889689
38,University of Texas at Austin,United States,75.4,68.2,76.2,93.2,46.6,39.1,18,430679,218169
42,McGill University,Canada,74.3,65.0,71.9,84.7,42.8,90.4,18,669674,449232
43,Technical University of Munich,Germany,74.1,64.6,70.4,85.5,100.0,72.9,2,454028,454028
44,Heidelberg University,Germany,73.5,67.1,60.3,96.2,54.6,67.5,13,264928,97632
50,Australian National University,Australia,72.1,54.4,69.7,88.4,46.4,95.5,14,710833,463200
53,Brown University,United States,70.0,64.0,56.1,94.9,36.5,61.4,8,291719,214510
54,University of North Carolina at Chapel Hill,United States,69.9,59.7,63.2,96.9,43.9,38.0,5,427469,387620
55,"University of California, Davis",United States,69.7,62.4,66.9,83.2,51.4,62.4,6,532960,228014
55,University of Manchester,United Kingdom,69.7,56.9,63.8,85.2,44.7,91.0,23,590495,416946
57,"University of California, Santa Barbara",United States,69.6,47.9,63.6,96.4,84.5,68.1,6,388292,413950
57,Chinese University of Hong Kong,Hong Kong,69.6,55.8,62.8,84.5,55.2,97.8,13,409158,294724
59,Wageningen University & Research,Netherlands,69.4,49.3,57.1,96.1,100.0,81.9,1,343662,343662
60,University of Sydney,Australia,69.3,51.0,61.5,90.7,67.7,89.2,16,164584,35203
61,Boston University,United States,68.5,57.3,55.6,95.7,41.4,64.4,18,553489,517223
62,University of Amsterdam,Netherlands,68.1,48.0,63.4,91.2,45.3,82.0,9,380674,58595
62,University of Southern California,United States,68.1,54.7,59.3,93.1,39.7,66.2,30,306940,128499
64,Seoul National University,South Korea,68.0,72.3,71.6,66.5,86.6,35.8,33,218438,220108
65,Kyoto University,Japan,67.7,73.7,78.1,59.9,66.2,33.7,5,65084,80668
66,University of Queensland,Australia,67.4,49.3,58.7,86.8,80.9,92.5,8,603319,480184
67,Delft University of Technology,Netherlands,66.7,55.3,72.3,63.2,99.4,92.8,2,63697,63697
67,Leiden University,Netherlands,66.7,48.3,65.0,83.1,72.7,79.4,13,526534,58595
69,Erasmus University Rotterdam,Netherlands,66.3,39.4,57.3,97.1,63.6,87.3,5,306297,79492
72,McMaster University,Canada,65.4,44.5,50.1,94.8,94.0,82.7,7,68774,8229
73,University of Groningen,Netherlands,65.1,42.3,55.6,91.6,79.8,82.5,6,53016,28487
74,Humboldt University of Berlin,Germany,65.0,61.8,66.8,67.9,40.2,67.8,9,212886,40163
75,Monash University,Australia,64.7,47.3,56.6,83.8,67.2,89.9,12,345036,276886
75,Utrecht University,Netherlands,64.7,44.1,61.2,88.4,65.3,65.5,4,561108,34882
77,University of Warwick,United Kingdom,64.6,46.9,52.7,88.8,42.8,93.8,13,558700,332385
79,University of Minnesota,United States,64.1,55.2,59.3,82.7,78.2,40.2,15,456827,285094
80,University of Science and Technology of China,China,64.0,64.6,59.5,74.7,79.6,31.3,1,145921,145921
80,Sorbonne University,France,64.0,62.3,50.6,79.9,38.4,69.2,55,374507,293721
84,Michigan State University,United States,63.9,56.6,57.4,80.0,37.8,63.3,9,250848,209069
86,University of Freiburg,Germany,63.3,49.1,51.6,83.1,100.0,75.7,10,47004,36608
87,University of Bristol,United Kingdom,63.2,41.8,48.4,95.5,40.9,86.6,8,195187,109551
90,University of Zurich,Switzerland,62.8,47.0,46.7,88.2,53.0,92.2,9,120500,59490
91,University of Tübingen,Germany,62.7,51.2,56.2,80.1,67.0,64.0,11,104824,47583
93,École Polytechnique,France,62.5,59.6,49.1,70.2,69.6,95.2,12,356481,221972
94,University of Basel,Switzerland,62.4,43.0,41.2,91.4,99.4,96.1,4,252361,249161
94,Dartmouth College,United States,62.4,58.4,39.9,96.4,41.0,39.6,5,575660,471306
96,"University of California, Irvine",United States,62.3,43.3,46.5,94.9,58.9,71.9,2,573614,573614
