Q code,founding
Q34433,1096
Q161562,1891
Q35794,1209
Q41506,1891
Q49108,1861
Q21578,1746
Q13371,1636
Q49112,1701
Q131252,1890
Q189022,1907
Q49117,1740
Q193727,1876
Q168756,1868
Q11942,1855
Q49088,1754
Q174710,1919
Q180865,1827
Q49115,1865
Q168751,1838
Q309350,1851
Q16955,1911
Q16952,1898
Q738236,1905
Q219563,1861
Q190080,1900
Q174570,1895
Q49210,1831
Q160302,1583
Q622664,1960
Q319078,1853
Q391028,1908
Q15568,1911
Q864855,1885
Q49213,1883
Q201492,1821
Q157808,1868
Q151510,1386
Q127990,1946
Q49114,1765
Q192334,1789
Q129421,1905
Q230899,2004
Q263064,1909
Q15570,1963
Q422208,1918
Q487556,1850
Q49110,1869
Q214341,1632
Q4614,1880
Q39913,1946
Q336264,1869
Q866012,1909
Q752663,1842
Q156598,1575
Q633529,1913
Q632891,1887
Q850730,1614
Q152087,1809
Q598841,1958
Q221653,1636
Q865528,1965
Q238101,1851
Q1074103,1958
Q41497113,2018
Q270222,1855
Q153987,1457
Q459506,1909
Q206702,1833
Q153978,1477
Q273626,1794
Q372608,1460
Q49116,1769
Q868421,1965
Q28695,1640
Q218506,1666
Q192775,1451
Q273263,1870
Q186285,1479
Q333886,1789
Q185246,1477
Q503419,1885
Q152171,1818
Q842909,1891
Q197543,1897
Q495015,1905
Q195668,1882
Q223429,1900
Q659080,1834
Q924265,1928
Q29052,1873
Q823917,1905
Q1047060,1967
Q15574,1874
Q32746,1928
Q76473,1862
Q1137665,1817
Q736674,1876
Q152838,1734
Q787360,1984
Q1137652,1976
Q632004,1923
Q967165,1963
Q209842,1150
Q486156,1811
Q1517021,1911
Q6608367,1820
Q165980,1365
Q640694,1908
Q951305,1829
Q49120,1852
Q627969,1848
Q503473,1559
Q1414861,1955
Q1161297,1961
Q156725,1919
Q51985,1946
Q472316,1881
Q503424,1904
Q43452,1968
Q54096,1919
Q317070,1967
Q178848,1842
Q158158,1828
Q161976,1402
Q258464,1592
Q499510,1903
Q24382,1969
Q1333399,1921
Q270532,1495
Q131262,1088
Q1187271,1972
Q37548,1898
Q149990,1850
Q501758,1853
Q221645,1878
Q49212,1876
Q492467,1883
Q39997,1905
Q300980,2010
Q1269766,1829
Q371522,1954
Q2311820,1878
Q168426,1902
Q319239,1956
Q1045828,1963
Q1640648,1990
Q696757,2003
Q1145731,1870
Q534643,1896
Q175241,2003
Q1035745,1883
Q432637,1821
Q658975,1537
Q219615,1450
Q204457,1946
Q49119,1948
Q1067471,1966
Q1249005,1881
Q1202292,1971
Q174158,1918
Q1068752,1867
Q182973,1847
Q1795928,1967
Q835440,1966
Q59668,2003
Q741082,1964
Q1061122,1863
Q738258,1925
Q1367256,1946
Q837164,1963
Q1201513,1869
Q193510,1222
Q1432632,1892
Q1068258,1854
Q168515,1850
Q612665,1970
Q1350021,1951
Q758659,2000
Q788091,1968
Q1422458,1966
Q681025,1846
Q836805,1829
Q153265,1819
Q1145497,1987
Q579321,1818
Q1068072,1743
Q273523,1747
Q1075104,1965
Q15575,1966
Q861548,1851
Q1411222,1957
Q955764,1890
Q1478723,1967
Q766145,1876
Q1357517,1958
Q309948,1962
Q835960,1934
Q209344,1303
Q875637,1693
Q193196,1826
